id,text,sentiment,Expert
berlin-hotel-190599-review-1.json_0,This hotel was very modern and sleek.,POSITIVE,3
berlin-hotel-190599-review-1.json_1,"Beautiful, well-laid out, albeiit small rooms.",POSITIVE,3
berlin-hotel-190599-review-1.json_2,"Fantastic breakfast with an incredible selection of meats, cheeses, yogurts, breads etc. And, as a non-German speaker,",POSITIVE,3
berlin-hotel-190599-review-1.json_3,the staff were uber-helpful.,POSITIVE,3
berlin-hotel-190599-review-1.json_4,Great location in front of a u-bahn stop.,POSITIVE,3
berlin-hotel-190599-review-2.json_0,"Our first trip to Berlin, so we were unfamiliar with the city layout.",NEUTRAL,3
berlin-hotel-190599-review-2.json_1,But we were drawn to the design of the Art'otel.,POSITIVE,3
berlin-hotel-190599-review-2.json_2,"Yes, the public spaces are nicely designed,",POSITIVE,3
berlin-hotel-190599-review-2.json_3,as are the rooms.,NEUTRAL,3
berlin-hotel-190599-review-2.json_4,But the rooms are small and not very functional.,NEGATIVE,3
berlin-hotel-190599-review-2.json_5,And the location is definitely out of the way (although there is an U-bahn station just a half block away).,NEGATIVE,3
berlin-hotel-190599-review-2.json_6,And we were really put off by the tourist buses and groups.,NEGATIVE,3
berlin-hotel-190599-review-2.json_7,Not really our scene.,NEGATIVE,3
berlin-hotel-190599-review-2.json_8,"If you do end up here, be sure to specify a room at the back of the hotel.",POSITIVE,1
berlin-hotel-190599-review-2.json_9,The ones on the front are very noisy.,NEGATIVE,3
berlin-hotel-190599-review-3.json_0,"Directly across the street from an informal bus terminus the hotel is also very convenient for the U-Bahn into town and some points in the East on foot, but quite a walk away from the heart of things.",POSITIVE,3
berlin-hotel-190599-review-3.json_1,"The staff was friendly and tried to be accomodating, but couldn't give me a non-smoking room for the first night, nor an internal room,",POSITIVE,3
berlin-hotel-190599-review-3.json_2,and I was woken by the early morning firing up of the local bus service (a courtyard-facing room is essential unless you have industrial strength earplugs.)The rooms are small and ill-conceived.,NEGATIVE,1
berlin-hotel-190599-review-3.json_3,Too much attention on 'fabulousness' throughout the hotel (the public spaces are sleek and unwelcoming) and not enough on basic guest comfort.,NEGATIVE,3
berlin-hotel-190599-review-4.json_0,"Having previously enjoyed a great week's stay at the sister art'otel in Berlin (the Warhol-themed City Centre West), we decided to book a 4-night stay at this hotel so we could visit more of the sights on the eastern side of the city.",NEUTRAL,3
berlin-hotel-190599-review-4.json_1,The difference was stark.,NEGATIVE,3
berlin-hotel-190599-review-4.json_2,"This hotel is located in a very quiet district - barely a passing car on a weekday, completely dead at the weekendand with no local facilities.",NEGATIVE,3
berlin-hotel-190599-review-4.json_3,The one bar round the corner had one old pensioner propping the bar up on a Friday evening.,NEGATIVE,3
berlin-hotel-190599-review-4.json_4,The hotel itself is already showing signs of age.,NEGATIVE,3
berlin-hotel-190599-review-4.json_5,"The fixtures and fittings in the room were tired and worn; edges of shelves worn away, carpets badly stained, window blinds torn and damaged.",NEGATIVE,3
berlin-hotel-190599-review-4.json_6,"The room was very much smaller than in the sister hotel,",NEGATIVE,3
berlin-hotel-190599-review-4.json_7,though the bed was amply sized as in all German hotels.,POSITIVE,3
berlin-hotel-190599-review-4.json_8,Only one almost useless pillow per person though (think no thicker than a cracker) and no availability of additional bed linen as most other hotels would normally provide.,NEGATIVE,3
berlin-hotel-190599-review-4.json_9,The room was effectively air conditioned (i.e. you could control temperature and speed yourself),POSITIVE,3
berlin-hotel-190599-review-4.json_10,"and this is essential as the hotel's proximity to a very still tributary to the Spree means that the area is plagued by large, voracious mosquitoes.",NEGATIVE,3
berlin-hotel-190599-review-4.json_11,Leaving your bedroom window open is not an option as my heavily bitten body will testify!,NEGATIVE,3
berlin-hotel-190599-review-4.json_12,During my stay I needed to use the internet in order to check-in for our return flight.,NEUTRAL,3
berlin-hotel-190599-review-4.json_13,The cost of using the solitary PC in the lobby was extortionate.,NEGATIVE,3
berlin-hotel-190599-review-4.json_14,"Given the low cost of internet access and PC hardware, all decent hotels now offer such 'business centre' services for free - here,",POSITIVE,3
berlin-hotel-190599-review-4.json_15,it was a credit card driven system charging 1Euro for 3 minutes online time and extra for every printed page.,NEGATIVE,3
berlin-hotel-190599-review-4.json_16,"As a general tip, if you need to use the internet whilst in Berlin, look up the Easy Internet cafes before you go, there's a huge one in Kurfurstendam",NEUTRAL,1
berlin-hotel-190599-review-4.json_17,and at least one more I saw elsewhere - there access costs 1 Euro for an hour!,NEGATIVE,3
berlin-hotel-190599-review-4.json_18,"Overall, the stay at Berlin Mitte was not what I expected from a hotel chain which calls its most basic room 'Superior'.",NEGATIVE,3
berlin-hotel-190599-review-4.json_19,It needs to decide whether it wants to be 'designer' or just a smart hostel.,NEGATIVE,3
berlin-hotel-190599-review-4.json_20,"For UK travellers, the room was the same size",NEUTRAL,3
berlin-hotel-190599-review-4.json_21,and in the same condition as you'd find in a Travelodge.,NEGATIVE,3
berlin-hotel-190599-review-4.json_22,"If you expect no more than that, you won't be disappointed.",NEGATIVE,1
